Date,GME Price in USD (open),GME Price in USD (high),GME Price in USD (low),GME Price in USD (close),On Loan - New,On Loan - Returned,Net shares loaned,Outsanding Loans (# Shares)
3/29/2017,21.78,22.14,21.57,21.95,,,0,0
3/30/2017,21.9,22.49,21.86,22.46,,,0,0
3/31/2017,22.46,22.74,22.37,22.55,,,0,0
4/3/2017,22.52,22.62,21.915,22,,,0,0
4/4/2017,21.94,22.21,21.74,21.98,,,0,0
4/5/2017,22.19,22.29,21.74,21.76,,,0,0
4/6/2017,21.96,22.17,21.74,21.84,,,0,0
4/7/2017,21.82,22.0209,21.58,21.66,,,0,0
4/10/2017,21.6,22.12,21.56,21.88,,,0,0
4/11/2017,21.8,22.15,21.68,22.11,,,0,0
4/12/2017,22.18,22.18,21.87,22.07,,,0,0
4/13/2017,22.06,22.44,21.98,22.38,,,0,0
4/17/2017,22.45,22.95,22.4,22.89,,,0,0
4/18/2017,22.84,22.98,22.61,22.84,,,0,0
4/19/2017,22.92,23.13,22.76,22.78,,,0,0
4/20/2017,22.95,23.425,22.9499,23.19,,,0,0
4/21/2017,23.24,23.27,22.94,23.19,,,0,0
4/24/2017,23.4,23.49,22.96,23.22,,,0,0
4/25/2017,23.32,23.49,23.1,23.4,,,0,0
4/26/2017,23.42,23.975,23.31,23.65,,,0,0
4/27/2017,23.67,23.71,23.04,23.1,,,0,0
4/28/2017,23.09,23.09,22.47,22.69,,,0,0
5/1/2017,22.77,23.24,22.56,22.78,,,0,0
5/2/2017,22.83,23.55,22.74,23.44,,,0,0
5/3/2017,23.46,24,23.38,23.97,,,0,0
5/4/2017,23.98,24.14,23.53,23.57,,,0,0
5/5/2017,23.7,24.01,23.58,24,,,0,0
5/8/2017,24,24.47,23.84,24.38,,,0,0
5/9/2017,24.33,24.74,24.09,24.49,,,0,0
5/10/2017,24.54,25.13,24.44,24.95,,,0,0
5/11/2017,25.11,25.31,24.24,24.35,,,0,0
5/12/2017,24.28,24.35,23.78,24.03,,,0,0
5/15/2017,24.14,24.68,24.1,24.36,,,0,0
5/16/2017,24.33,24.51,23.9,24.47,,,0,0
5/17/2017,24.15,24.38,23.75,23.84,,,0,0
5/18/2017,23.94,24.05,23.52,23.78,,,0,0
5/19/2017,23.8,24.305,23.58,24.22,,,0,0
5/22/2017,24.35,24.5995,24.04,24.05,,,0,0
5/23/2017,24.37,24.37,22.63,22.66,,,0,0
5/24/2017,22.61,22.87,22.43,22.71,,,0,0
5/25/2017,23.6,23.67,22.73,23.62,,,0,0
5/26/2017,22.12,22.41,21.25,22.22,,,0,0
5/30/2017,22.18,22.93,22.1701,22.57,,,0,0
5/31/2017,22.64,22.695,21.89,22.14,,,0,0
6/1/2017,22.15,22.96,22.11,22.78,,,0,0
6/2/2017,22.73,22.78,22.35,22.67,,,0,0
6/5/2017,22.25,22.57,21.96,22.48,,,0,0
6/6/2017,22.25,22.36,21.89,21.9,,,0,0
6/7/2017,21.96,22.21,21.83,22.04,,,0,0
6/8/2017,22.15,22.43,21.33,21.37,,,0,0
6/9/2017,21.33,22.085,21.3,22.01,,,0,0
6/12/2017,21.94,22.15,21.59,21.71,,,0,0
6/13/2017,21.78,22.17,21.57,21.98,,,0,0
6/14/2017,21.96,21.96,21.25,21.63,,,0,0
6/15/2017,21.52,21.65,21.14,21.22,,,0,0
6/16/2017,21.12,21.17,20.5,20.59,,,0,0
6/19/2017,20.65,20.97,20.35,20.8,,,0,0
6/20/2017,20.72,20.7765,20.47,20.64,,,0,0
6/21/2017,20.66,20.95,20.29,20.46,,,0,0
6/22/2017,20.49,20.785,20.44,20.54,,,0,0
6/23/2017,20.47,20.66,20.261,20.65,,,0,0
6/26/2017,20.67,21.17,20.66,21.13,,,0,0
6/27/2017,21.07,21.495,21.04,21.38,,,0,0
6/28/2017,21.5,21.76,21.43,21.51,,,0,0
6/29/2017,21.56,21.78,21.28,21.61,,,0,0
6/30/2017,21.75,21.8,21.385,21.61,,,0,0
7/3/2017,21.77,22,21.56,21.6,144278,221867,-77589,-77589
7/4/2017,,,,,60700,165300,-104600,-182189
7/5/2017,21.56,21.71,21.38,21.51,475001,500685,-25684,-207873
7/6/2017,21.37,21.54,21.07,21.12,158341,362243,-203902,-411775
7/7/2017,21.15,21.28,20.86,20.91,419642,853459,-433817,-845592
7/10/2017,20.89,21.02,20.79,20.89,1180770,900699,280071,-565521
7/11/2017,20.96,21.065,20.81,20.96,836250,455032,381218,-184303
7/12/2017,21.15,21.26,20.98,20.99,531354,387458,143896,-40407
7/13/2017,21.24,21.43,21.04,21.16,245805,167523,78282,37875
7/14/2017,21.25,21.3225,20.97,21.02,656910,184708,472202,510077
7/17/2017,21.03,21.58,20.98,21.28,257070,308654,-51584,458493
7/18/2017,21.38,21.39,20.98,21.09,218126,368000,-149874,308619
7/19/2017,21.15,21.47,21.06,21.35,457989,282785,175204,483823
7/20/2017,21.3,21.34,21.1,21.1,582004,147934,434070,917893
7/21/2017,21.14,21.18,20.72,20.78,227613,358872,-131259,786634
7/24/2017,20.7,20.995,20.65,20.8,115563,367561,-251998,534636
7/25/2017,20.99,21.37,20.94,21.26,598306,380511,217795,752431
7/26/2017,21.28,21.3271,20.95,21.04,1229881,1229819,62,752493
7/27/2017,21.09,21.755,21.03,21.7,258148,441706,-183558,568935
7/28/2017,21.64,21.729,21.4,21.5,105743,441155,-335412,233523
7/31/2017,21.55,21.76,21.41,21.69,196298,466501,-270203,-36680
8/1/2017,21.69,21.69,21.14,21.36,819444,402652,416792,380112
8/2/2017,21.32,21.62,21.2718,21.38,747395,1281901,-534506,-154394
8/3/2017,21.32,21.82,21.32,21.66,638303,270402,367901,213507
8/4/2017,21.78,22.11,21.6874,21.93,417353,839227,-421874,-208367
8/7/2017,21.94,22.255,21.825,22.17,255915,189495,66420,-141947
8/8/2017,22.2,22.37,21.9,21.94,255900,255481,419,-141528
8/9/2017,21.75,22.12,21.62,22.08,469498,228920,240578,99050
8/10/2017,21.91,21.91,21.46,21.47,,,0,99050
8/11/2017,21.24,21.83,21.07,21.76,,,0,99050
8/14/2017,21.95,21.99,21.715,21.85,,,0,99050
8/15/2017,21.7,21.77,20.78,20.93,,,0,99050
8/16/2017,21.12,21.49,21.08,21.39,,,0,99050
8/17/2017,21.37,21.66,21,21.1,,,0,99050
8/18/2017,21.05,21.33,20.97,21.22,,,0,99050
8/21/2017,21.16,21.36,20.97,20.98,,,0,99050
8/22/2017,21.12,21.69,21.09,21.64,,,0,99050
8/23/2017,21.59,21.82,21.21,21.48,,,0,99050
8/24/2017,21.75,22.12,21.65,21.78,,,0,99050
8/25/2017,19.9,19.94,18.72,19.4,,,0,99050
8/28/2017,19.41,19.7,18.96,19.15,,,0,99050
8/29/2017,18.93,19.07,18.64,18.75,,,0,99050
8/30/2017,18.75,18.97,18.68,18.79,,,0,99050
8/31/2017,18.83,18.87,18.47,18.5,,,0,99050
9/1/2017,18.6,18.88,18.6,18.67,,,0,99050
9/5/2017,18.69,18.96,18.555,18.94,,,0,99050
9/6/2017,19,19.35,18.99,19.34,,,0,99050
9/7/2017,19.02,19.34,18.81,18.85,,,0,99050
9/8/2017,18.85,19.19,18.74,19.15,,,0,99050
9/11/2017,19.21,19.45,19.13,19.2,,,0,99050
